"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","Negative: Empty string as name","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","92","Negative: Path traversal attempt","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","101","Negative: Numeric value as email","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","102","Negative: POST method on updateAccount should not return 200","api","Sat Jul 04 17:35:01 UTC 2026","passed","Sat Jul 04 17:35:01 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","98","Negative: Create account with only name, email, password should return 400","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","105","Negative: Path traversal attempt","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/brandsList endpoint tests","api/brands-list.spec.ts","",""
"","683","API 3: Get All Brands List should return 200 and brands array","api","Sat Jul 04 17:34:54 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/brandsList endpoint tests","api/brands-list.spec.ts","",""
"","426","API 13: Update address fields","api","Sat Jul 04 17:35:01 UTC 2026","passed","Sat Jul 04 17:35:01 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","82","Negative: DELETE method on createAccount should not return 201","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","278","API 14: Deleted account should not return user detail","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","95","Negative: Very long string as password","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
